experiment;date experiment;species;accession;plant;number;treatment;score
B. nigra variation;12-6-2018;B.nigra; SF29 6,2 C1 ;SF29-O;6;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra; SF29 6,2 C1 ;SF29-O;7;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra; SF29 6,2 C1 ;SF29-O;8;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra; SF29 6,2 C1 ;SF29-O;9;P. brassicae egg wash;3
B. nigra variation;12-6-2018;B.nigra; SF29 6,2 C1 ;SF29-O;10;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra; SF29 6,2 C1 ;SF29-O;1;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra; SF29 6,2 C1 ;SF29-O;2;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra; SF29 6,2 C1 ;SF29-O;3;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra; SF29 6,2 C1 ;SF29-O;4;P. brassicae egg wash;4
B. nigra variation;12-6-2018;B.nigra; SF29 6,2 C1 ;SF29-O;5;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;DG #1;DG1;1;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;DG #1;DG1;2;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;DG #1;DG1;3;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;DG #1;DG1;4;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;DG #1;DG1;5;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;DG #1;DG1;6;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;DG #1;DG1;7;P. brassicae egg wash;NA
B. nigra variation;12-6-2018;B.nigra;DG #1;DG1;8;P. brassicae egg wash;3
B. nigra variation;12-6-2018;B.nigra;DG #1;DG1;9;P. brassicae egg wash;NA
B. nigra variation;12-6-2018;B.nigra;DG #29;DG29;1;P. brassicae egg wash;1
B. nigra variation;12-6-2018;B.nigra;DG #29;DG29;2;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;DG #29;DG29;3;P. brassicae egg wash;3
B. nigra variation;12-6-2018;B.nigra;DG #29;DG29;4;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;DG #29;DG29;5;P. brassicae egg wash;4
B. nigra variation;12-6-2018;B.nigra;DG #29;DG29;6;P. brassicae egg wash;2
B. nigra variation;12-6-2018;B.nigra;DG #29;DG29;7;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;DG #29;DG29;8;P. brassicae egg wash;NA
B. nigra variation;12-6-2018;B.nigra;DG #29;DG29;9;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;DG#12;DG12;1;P. brassicae egg wash;2
B. nigra variation;12-6-2018;B.nigra;DG#12;DG12;2;P. brassicae egg wash;2
B. nigra variation;12-6-2018;B.nigra;DG#12;DG12;3;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;DG#12;DG12;4;P. brassicae egg wash;2
B. nigra variation;12-6-2018;B.nigra;DG#12;DG12;5;P. brassicae egg wash;4
B. nigra variation;12-6-2018;B.nigra;DG#12;DG12;6;P. brassicae egg wash;3
B. nigra variation;12-6-2018;B.nigra;DG#12;DG12;7;P. brassicae egg wash;2
B. nigra variation;12-6-2018;B.nigra;DG#12;DG12;8;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF19;SF19-O;1;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF19;SF19-O;2;P. brassicae egg wash;1
B. nigra variation;12-6-2018;B.nigra;SF19;SF19-O;3;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF19;SF19-O;4;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF19;SF19-O;5;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF19;SF19-O;6;P. brassicae egg wash;1
B. nigra variation;12-6-2018;B.nigra;SF19;SF19-O;7;P. brassicae egg wash;1
B. nigra variation;12-6-2018;B.nigra;SF19;SF19-O;8;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF19;SF19-O;9;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF19 6,3 C2;SF19-O;1;P. brassicae egg wash;1
B. nigra variation;12-6-2018;B.nigra;SF19 6,3 C2;SF19-O;2;P. brassicae egg wash;3
B. nigra variation;12-6-2018;B.nigra;SF19 6,3 C2;SF19-O;3;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF19 6,3 C2;SF19-O;4;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF19 6,3 C2;SF19-O;5;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF19 6,3 C2;SF19-O;6;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF19 6,3 C2;SF19-O;7;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF19 6,3 C2;SF19-O;8;P. brassicae egg wash;3
B. nigra variation;12-6-2018;B.nigra;SF19 6,3 C2;SF19-O;9;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF19 6,3 C2;SF19-O;10;P. brassicae egg wash;NA
B. nigra variation;12-6-2018;B.nigra;SF25 6,6 T2;SF25-O;1;P. brassicae egg wash;3
B. nigra variation;12-6-2018;B.nigra;SF25 6,6 T2;SF25-O;2;P. brassicae egg wash;2
B. nigra variation;12-6-2018;B.nigra;SF25 6,6 T2;SF25-O;3;P. brassicae egg wash;NA
B. nigra variation;12-6-2018;B.nigra;SF25 6,6 T2;SF25-O;4;P. brassicae egg wash;3
B. nigra variation;12-6-2018;B.nigra;SF25 6,6 T2;SF25-O;5;P. brassicae egg wash;2
B. nigra variation;12-6-2018;B.nigra;SF25 6,6 T2;SF25-O;6;P. brassicae egg wash;1
B. nigra variation;12-6-2018;B.nigra;SF25 6,6 T2;SF25-O;7;P. brassicae egg wash;3
B. nigra variation;12-6-2018;B.nigra;SF25 6,6 T2;SF25-O;8;P. brassicae egg wash;NA
B. nigra variation;12-6-2018;B.nigra;SF25 6,6 T2;SF25-O;9;P. brassicae egg wash;4
B. nigra variation;12-6-2018;B.nigra;SF25 6,6 T2;SF25-O;10;P. brassicae egg wash;1
B. nigra variation;12-6-2018;B.nigra;SF25 6,6 T2;SF25-O;11;P. brassicae egg wash;2
B. nigra variation;12-6-2018;B.nigra;SF25 6,6 T2;SF25-O;12;P. brassicae egg wash;4
B. nigra variation;12-6-2018;B.nigra;SF25 6,6 T2;SF25-O;13;P. brassicae egg wash;4
B. nigra variation;12-6-2018;B.nigra;SF3 11,6 T1;SF3-O;1;P. brassicae egg wash;3
B. nigra variation;12-6-2018;B.nigra;SF3 11,6 T1;SF3-O;2;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF3 11,6 T1;SF3-O;3;P. brassicae egg wash;1
B. nigra variation;12-6-2018;B.nigra;SF3 11,6 T1;SF3-O;4;P. brassicae egg wash;3
B. nigra variation;12-6-2018;B.nigra;SF3 11,6 T1;SF3-O;5;P. brassicae egg wash;2
B. nigra variation;12-6-2018;B.nigra;SF3 11,6 T1;SF3-O;6;P. brassicae egg wash;4
B. nigra variation;12-6-2018;B.nigra;SF3 11,6 T1;SF3-O;7;P. brassicae egg wash;3
B. nigra variation;12-6-2018;B.nigra;SF3 11,6 T1;SF3-O;8;P. brassicae egg wash;2
B. nigra variation;12-6-2018;B.nigra;SF3 11,6 T1;SF3-O;9;P. brassicae egg wash;3
B. nigra variation;12-6-2018;B.nigra;SF3 11,6 T1;SF3-O;10;P. brassicae egg wash;NA
B. nigra variation;12-6-2018;B.nigra;SF3 11,6 T1;SF3-O;11;P. brassicae egg wash;4
B. nigra variation;12-6-2018;B.nigra;SF3 11,6 T1;SF3-O;12;P. brassicae egg wash;2
B. nigra variation;12-6-2018;B.nigra;SF47 11,1 C2 14-9-2012;SF47-O;1;P. brassicae egg wash;1
B. nigra variation;12-6-2018;B.nigra;SF47 11,1 C2 14-9-2012;SF47-O;2;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF47 11,1 C2 14-9-2012;SF47-O;3;P. brassicae egg wash;NA
B. nigra variation;12-6-2018;B.nigra;SF47 11,1 C2 14-9-2012;SF47-O;4;P. brassicae egg wash;2
B. nigra variation;12-6-2018;B.nigra;SF47 11,1 C2 14-9-2012;SF47-O;5;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF47 11,1 C2 14-9-2012;SF47-O;6;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF47 11,1 C2 14-9-2012;SF47-O;7;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF47 11,1 C2 14-9-2012;SF47-O;8;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF47 11,1 C2 14-9-2012;SF47-O;9;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF47 11,1 C2 14-9-2012;SF47-O;10;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF47 11,1 C2 14-9-2012;SF47-O;11;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;SF47 11,1 C2 14-9-2012;SF47-O;12;P. brassicae egg wash;1
B. nigra variation;12-6-2018;B.nigra;SF47 11,1 C2 14-9-2012;SF47-O;13;P. brassicae egg wash;3
B. nigra variation;12-6-2018;B.nigra;SF47 11,1 C2 14-9-2012;SF47-O;14;P. brassicae egg wash;0
B. nigra variation;12-6-2018;B.nigra;Sf48 11,3;SF48-O;1;P. brassicae egg wash;3
